State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
TAMIL NADU,Ariyalur,1940.0,197090,754894,374703,380191,480604,269582,133122,274290,105121,169169,359851,212547,147304,395043,162156,232887,10722,176230,708397,7942,104,88,65,42,853,254277,223955,30322,1749,8.71%
BIHAR,Arwal,638.0,118222,700843,363497,337346,386351,235279,330078,314492,128218,186274,236354,167991,68363,464489,195506,268983,590,141314,634099,64259,59,323,74,60,1579,144294,134334,9960,413,52.18%
MADHYA PRADESH,Ashoknagar,4674.0,172680,845071,443837,401234,469109,290304,177536,375962,153533,222429,315270,231829,83441,529801,212008,317793,82072,175764,778214,40707,8009,1352,15094,27,1033,206741,169606,37135,619,42.78%
UTTAR PRADESH,Auraiya,2016.0,248197,1379545,740040,639505,930836,546198,186434,448709,193842,254867,442023,364543,77480,937522,375497,562025,150,391622,1273546,101963,371,332,228,444,1657,314274,255836,58438,2404,29.82%
BIHAR,Aurangabad,3305.0,391898,2540073,1318684,1221389,1466002,868733,132021,1074071,449951,624120,837770,599157,238613,1702303,719527,982776,1033,612064,2291133,237353,295,334,775,19,7946,477297,428291,49006,2362,43.94%
MAHARASHTRA,Aurangabad,10107.0,751915,3701282,1924469,1776813,2503837,1430936,184206,1197445,493533,703912,1575079,1015864,559215,2126203,908605,1217598,143366,539368,2545438,786677,5142,309093,30981,1005,6955,979132,551789,427343,23258,14.22%
UTTAR PRADESH,Azamgarh,4054.0,665232,4613913,2285004,2328909,2771917,1559414,157028,1841996,725590,1116406,1372032,941890,430142,3241881,1343114,1898767,9327,1171378,3878626,718692,719,5652,183,226,6005,971458,891024,80434,6652,32.77%
JAMMU AND KASHMIR,Badgam,1361.0,103363,753745,398041,355704,335649,207741,269796,418096,190300,227796,214866,162578,52288,538879,235463,303416,23912,368,10110,736054,5559,47,6,2,478,187839,160649,27190,1999,6.84%
KARNATAKA,Bagalkot,6552.0,361149,1889752,950111,939641,1113412,641388,24002,776340,308723,467617,818081,511575,306506,1071671,438536,633135,97203,319149,1634229,219991,443,412,25198,166,5880,490657,324799,165858,3745,19.94%
UTTARAKHAND,Bageshwar,2241.0,58046,259898,124326,135572,179483,97546,727059,80415,26780,53635,123638,58708,64930,136260,65618,70642,1982,72061,257509,1440,46,102,7,16,381,99911,96031,3880,435,19.99%
UTTAR PRADESH,Baghpat,1321.0,209916,1303048,700070,602978,797970,489858,260313,505078,210212,294866,416695,342604,74091,886353,357466,528887,14,149060,917474,364583,483,161,16139,25,2343,316046,246055,69991,2989,21.08%
UTTAR PRADESH,Bahraich,5237.0,603754,3487731,1843884,1643847,1398368,878285,739956,2089363,965599,1123764,1152160,895576,256584,2335571,948308,1387263,11159,509307,2291892,1169330,8212,2793,1177,38,7889,760262,698520,61742,2681,71.85%
ASSAM,Baksa,2457.0,191701,950075,481330,468745,572837,322614,561772,377238,158716,218522,406756,266611,140145,543319,214719,328600,331007,73083,782901,135750,156,1189,239,353,2411,295221,291641,3580,1175,23.59%
MADHYA PRADESH,Balaghat,9229.0,391836,1701698,842178,859520,1147623,626468,199304,554075,215710,338365,893014,488610,404404,808684,353568,455116,383026,125426,1519384,38542,1050,72162,4778,58064,2423,470867,400074,70793,1712,40.06%
ORISSA,Balangir,6575.0,414749,1648997,830097,818900,927260,545672,187337,721737,284425,437312,720601,469956,250645,928396,360141,568255,347164,294777,1618175,7811,565,467,2225,141,3342,538962,476770,62192,3286,27.49%
ORISSA,Baleshwar,3806.0,533001,2320529,1185787,1134742,1621232,902359,1131877,699297,283428,415869,932707,684020,248687,1387822,501767,886055,275678,478586,2197709,94254,237,111,201,18345,3238,683594,601154,82440,7370,24.43%
UTTAR PRADESH,Ballia,2981.0,480268,3239774,1672902,1566872,1963590,1160960,279340,1276184,511942,764242,1019483,723060,296423,2220291,949842,1270449,110114,494698,3004240,213440,892,1595,233,64,14847,629381,564927,64454,4672,37.11%
UTTAR PRADESH,Balrampur,3349.0,323881,2148665,1114721,1033944,868357,544943,520441,1280308,569778,710530,760253,534332,225921,1388412,580389,808023,24887,277212,1333242,805975,900,1866,198,87,3169,445838,410070,35768,1551,32.45%
GUJARAT,Banas Kantha,10743.0,560411,3120506,1610379,1510127,1704923,1048402,224447,1415583,561977,853606,1248600,836268,412332,1871906,774111,1097795,284155,327460,2890305,213505,486,281,12659,83,1501,804197,666773,137424,3424,31.24%
UTTAR PRADESH,Banda,4408.0,319963,1799410,965876,833534,1002937,630626,165518,796473,335250,461223,701689,485314,216375,1097721,480562,617159,163,387855,1637549,157612,231,168,916,50,1517,445625,378056,67569,1655,40.18%
JAMMU AND KASHMIR,Bandipore,345.0,58392,392232,207680,184552,185979,117058,356607,206253,90622,115631,149317,101380,47937,242915,106300,136615,75374,392,8439,382006,555,44,17,2,597,98076,80521,17555,985,11.07%
KARNATAKA,Bangalore,2196.0,2393845,9621551,5022661,4598890,7512276,4078041,179523,2109275,944620,1164655,4246927,3115361,1131566,5374624,1907300,3467324,190239,1198385,7725070,1248294,13254,5531,83090,498,40951,3267960,300576,2967384,430880,2.05%
KARNATAKA,Bangalore Rural,2298.0,229279,990923,509172,481751,688749,385311,555739,302174,123861,178313,459891,315499,144392,531032,193673,337359,52903,213700,890429,92252,389,272,1045,85,1083,326462,231052,95410,3729,7.03%
BIHAR,Banka,3020.0,381601,2034763,1067140,967623,965321,590961,751789,1069442,476179,593263,771080,517817,253263,1263683,549323,714360,90432,247858,1772655,250925,139,113,94,1035,3664,444096,425604,18492,1704,57.83%
WEST BENGAL,Bankura,6882.0,766902,3596674,1838095,1758579,2232992,1299337,289735,1363682,538758,824924,1466220,1050822,415398,2130454,787273,1343181,368690,1174447,3033581,290450,386,260,2904,260694,4534,991400,900515,90885,4273,26.99%
RAJASTHAN,Banswara,4522.0,367797,1797485,907754,889731,829343,513854,224197,968142,393900,574242,916574,482236,434338,880911,425518,455393,1372999,80091,1701234,48834,427,138,22613,109,1880,429844,390437,39407,2324,50.97%
UTTAR PRADESH,Bara Banki,4402.0,579058,3260699,1707073,1553626,1692458,1010518,326631,1568241,696555,871686,1192850,871241,321609,2067849,835832,1232017,610,864559,2505444,737106,2090,1553,3016,211,6422,714908,635840,79068,3159,44.77%
JAMMU AND KASHMIR,Baramula,4243.0,152635,1008039,534733,473306,545149,337170,431664,462890,197563,265327,304200,249581,54619,703839,285152,418687,37705,1476,30621,959185,14770,140,29,7,1790,259475,210543,48932,3698,7.06%
RAJASTHAN,Baran,6992.0,241428,1222755,633945,588810,693307,432607,157832,529448,201338,328110,552583,329754,222829,670172,304191,365981,276857,221184,1133349,79984,3066,84,2795,48,1997,318988,249184,69804,1363,32.40%
WEST BENGAL,Barddhaman,7024.0,1730927,7717563,3966889,3750674,5247208,2918040,340092,2470355,1048849,1421506,2911251,2293083,618168,4806312,1673806,3132506,489447,2115719,6008472,1599764,16675,1602,1674,44968,23188,2227236,1364868,862368,32323,20.33%
UTTAR PRADESH,Bareilly,4120.0,756784,4448359,2357665,2090694,2191759,1342697,86889,2256600,1014968,1241632,1401971,1153006,248965,3046388,1204659,1841729,3227,557150,2830768,1536534,28187,4371,931,339,32407,994411,631613,362798,15164,38.58%
ORISSA,Bargarh,5837.0,370308,1481255,749161,732094,983783,557217,125161,497472,191944,305528,762092,473305,288787,719163,275856,443307,281135,298780,1459065,7527,652,161,125,44,1937,458961,411566,47395,2401,24.77%
RAJASTHAN,Barmer,28387.0,451629,2603751,1369022,1234729,1188322,783461,79130,1415429,585561,829868,1202482,696240,506242,1401269,672782,728487,176257,436414,2244882,321192,450,157,34010,34,1869,598805,542825,55980,2766,53.54%
PUNJAB,Barnala,1482.0,115798,595527,317522,278005,359831,201999,180588,235696,115523,120173,209331,178163,31168,386196,139359,246837,0,192001,112859,13100,467751,108,246,481,360,156799,102577,54222,3501,5.81%
ASSAM,Barpeta,2282.0,337929,1693622,867004,826618,897058,499038,557290,796564,367966,428598,561824,445297,116527,1131798,421707,710091,27344,95320,492966,1198036,112,49,399,14,1026,499381,447189,52192,2078,39.41%
MADHYA PRADESH,Barwani,5427.0,243277,1385881,699340,686541,549926,313642,232741,835955,385698,450257,653897,365928,287969,731984,333412,398572,962145,87991,1318869,58222,2361,416,2289,263,494,299270,250358,48912,1158,61.60%
CHHATTISGARH,Bastar,10470.0,311538,1413199,698487,714712,650863,382335,155927,762336,316152,446184,726531,404364,322167,686668,294123,392545,931780,37963,1277975,12413,2099,985,3466,86925,1385,371319,316425,54894,1782,46.95%
UTTAR PRADESH,Basti,2688.0,382212,2464464,1255272,1209192,1393783,819719,81937,1070681,435553,635128,783688,558642,225046,1680776,696630,984146,3620,513959,2082976,364510,900,9753,107,99,2626,545025,513960,31065,3423,43.26%
PUNJAB,Bathinda,3353.0,273902,1388525,743197,645328,844868,488261,204893,543657,254936,288721,549986,432988,116998,838539,310209,528330,0,450473,380569,16299,984286,246,1266,559,2826,355722,218159,137563,11284,5.62%
ORISSA,Baudh,3098.0,106961,441162,221625,219537,271612,158648,75711,169550,62977,106573,219457,125627,93830,221705,95998,125707,55364,104934,438152,1007,24,5,11,7,1434,137954,131377,6577,245,33.03%
BIHAR,Begusarai,1918.0,589667,2970541,1567660,1402881,1548673,918507,310721,1421868,649153,772715,938182,715345,222837,2032359,852315,1180044,1597,432270,2554330,407348,402,229,276,57,5690,733625,594377,139248,4644,50.68%
KARNATAKA,Belgaum,13433.0,983854,4779661,2423063,2356598,3052032,1725548,439314,1727629,697515,1030114,2105668,1372422,733246,2673993,1050641,1623352,297198,577418,4038331,528412,2037,1086,178310,149,12918,1318975,962777,356198,17560,12.26%
KARNATAKA,Bellary,8461.0,489118,2452595,1236954,1215641,1421621,813440,486943,1030974,423514,607460,1116880,703258,413622,1335715,533696,802019,451406,517409,2103633,320834,1029,284,8044,54,4703,623480,371604,251876,9626,22.91%
MADHYA PRADESH,Betul,10043.0,329832,1575362,799236,776126,939769,529783,175456,635593,269453,366140,786980,453887,333093,788382,345349,443033,667018,159296,1505745,37590,1078,9651,3759,13048,1220,406649,318945,87704,2109,34.50%
ORISSA,Bhadrak,2505.0,306333,1506337,760260,746077,1094140,596269,356737,412197,163991,248206,468599,409559,59040,1037738,350701,687037,30428,334896,1398543,104202,169,81,111,61,2425,428106,373862,54244,2637,28.32%
