State,District,Area (sq km),Households,Total Population,Total Males,Total Females,Literate Population,Literate Males,Literate Females,Illiterate Population,Males Illiterates,Female Illiterates,Total Working Population,Total Working Males,Total Working Females,Unemployed Population,Unemployed Males,Unemployed Females,ST,SC,Hindus,Muslims,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Households.1,Rural_Households,Urban_Households,Households_with_Internet,MPI HCR
ARUNACHAL PRADESH,Changlang,4662.0,29521,148226,76948,71278,73174,44027,1746172,75052,32921,42131,62966,39329,23637,85260,37619,47641,53878,0,47683,2134,94,50381,95,11738,132,39920,33422,6498,170,26.47%
JHARKHAND,Chatra,3718.0,182271,1042886,533935,508951,510061,303902,656842,532825,230033,302792,397690,251213,146477,645196,282722,362474,45563,340553,903179,116710,888,35,129,12936,2444,215502,200974,14528,590,60.74%
TAMIL NADU,Chennai,175.0,1154982,4646732,2335844,2310888,3776276,1968079,655874,870456,367765,502691,1817297,1369302,447995,2829435,966542,1862893,10061,779667,3751322,439270,2851,2804,51708,1759,38356,1314125,0,1314125,217368,0.93%
MADHYA PRADESH,Chhatarpur,8687.0,356297,1762375,936121,826254,943033,572010,765779,819342,364111,455231,751797,481518,270279,1010578,454603,555975,73597,405313,1676918,70351,968,250,10409,102,1397,470917,375869,95048,1880,48.78%
MADHYA PRADESH,Chhindwara,11815.0,443361,2090922,1064468,1026454,1294198,731294,98238,796724,333174,463550,957984,582263,375721,1132938,482205,650733,769778,232244,1923920,100692,2258,24471,7830,25771,1087,553944,413142,140802,3588,30.14%
KARNATAKA,Chikkaballapura,4244.0,284698,1255104,636437,618667,783222,442158,404861,471882,194279,277603,639778,384452,255326,615326,251985,363341,156487,312565,1100131,147810,264,85,975,77,1078,409702,315649,94053,2672,13.41%
KARNATAKA,Chikmagalur,7202.0,276085,1137961,566622,571339,818345,438257,285659,319616,128365,191251,565774,357889,207885,572187,208733,363454,44970,253651,1004553,101235,182,109,4710,4,1168,392426,311660,80766,4510,9.98%
ASSAM,Chirang,1923.0,97395,482162,244860,237302,259902,145869,166906,222260,98991,123269,193894,128762,65132,288268,116098,172170,178688,35135,320647,109248,87,406,125,482,1420,140631,129018,11613,747,36.20%
KARNATAKA,Chitradurga,8436.0,357003,1659456,840843,818613,1087392,607188,418312,572064,233655,338409,856587,513311,343276,802869,327532,475337,302554,389117,1520553,128751,322,84,3778,128,2665,447348,349704,97644,5711,14.81%
UTTAR PRADESH,Chitrakoot,3216.0,168232,991730,527721,464009,531072,330339,600405,460658,197382,263276,394197,254977,139220,597533,272744,324789,366,266655,955372,34559,63,101,285,27,630,230795,207237,23558,827,52.81%
RAJASTHAN,Chittaurgarh,7822.0,329119,1544338,783171,761167,821825,514851,271330,722513,268320,454193,802755,456632,346123,741583,326539,415044,201546,250224,1413163,97855,1515,252,25843,136,4300,455653,366780,88873,4941,27.72%
ANDHRA PRADESH,Chittoor,15152.0,1039953,4174064,2090204,2083860,2667878,1484794,213339,1506186,605410,900776,1933357,1202223,731134,2240707,887981,1352726,159165,785760,3737588,397870,867,253,1322,358,11677,1303870,907970,395900,13763,9.64%
MANIPUR,Churachandpur,4570.0,49089,274143,138820,135323,195935,104013,478544,78208,34807,43401,122655,70594,52061,151488,68226,83262,254787,443,12034,2886,152,495,87,2333,1177,57825,52972,4853,837,20.86%
RAJASTHAN,Churu,13835.0,348984,2039547,1051446,988101,1149269,696729,235805,890278,354717,535561,902829,541404,361425,1136718,510042,626676,11245,451721,1777879,249736,402,188,7104,127,3153,493893,344897,148996,2577,22.79%
TAMIL NADU,Coimbatore,4732.0,958035,3458045,1729297,1728748,2635907,1394790,265771,822138,334507,487631,1567950,1083125,484825,1890095,646172,1243923,28342,535911,3044145,211035,1112,435,3284,237,7483,1169752,284795,884957,63273,2.29%
TAMIL NADU,Cuddalore,3703.0,635578,2605914,1311697,1294217,1815281,1000322,315489,790633,311375,479258,1169880,749633,420247,1436034,562064,873970,15702,763944,2391675,123749,401,236,1280,138,5101,758209,497429,260780,15396,6.28%
ORISSA,Cuttack,3932.0,579170,2624470,1352760,1271710,2011469,1103033,306974,613001,249727,363274,936365,761876,174489,1688105,590884,1097221,93745,498633,2457729,141263,1026,6276,1180,168,4843,790297,579529,210768,15046,14.97%
DADRA AND NAGAR HAVELI,Dadra & Nagar Haveli,491.0,76458,343709,193760,149949,223230,142521,532949,120479,51239,69240,157161,119293,37868,186548,74467,112081,178564,6186,322857,12922,217,634,1186,293,487,108783,48221,60562,2013,26.40%
CHHATTISGARH,Dakshin Bastar Dantewada,8298.0,120850,533638,264142,269496,191237,116529,260700,342401,147613,194788,286595,153294,133301,247043,110848,136195,410255,12996,513915,6437,457,352,1044,6071,474,137849,106545,31304,955,54.35%
WEST BENGAL,Dakshin Dinajpur,2219.0,396406,1676276,857199,819077,1083685,596474,272977,592591,260725,331866,702987,499560,203427,973289,357639,615650,275366,482754,1232850,412788,276,148,323,2786,2311,461026,390949,70077,2518,22.48%
KARNATAKA,Dakshina Kannada,4861.0,439733,2089649,1034714,1054935,1666323,864019,609185,423326,170695,252631,997721,620903,376818,1091928,413811,678117,82268,148178,1403854,501896,525,445,10397,138,996,650292,332919,317373,23305,6.69%
DAMAN AND DIU,Daman,72.0,50376,191173,124659,66514,150348,104316,151393,40825,20343,20482,105521,94502,11019,85652,30157,55495,15240,4262,171537,16087,169,216,244,79,223,71079,10006,61073,1316,7.15%
MADHYA PRADESH,Damoh,7306.0,297608,1264219,661873,602346,747715,445737,856994,516504,216136,300368,574595,367711,206884,689624,294162,395462,166295,246337,1186420,47966,1096,119,25005,82,1850,369901,303387,66514,1432,46.31%
BIHAR,Darbhanga,2279.0,803012,3937385,2059949,1877436,1816634,1125566,968811,2120751,934383,1186368,1223640,947927,275713,2713745,1112022,1601723,2772,615688,3042729,881476,832,245,236,101,8232,1002713,907174,95539,6280,56.45%
WEST BENGAL,Darjiling,3149.0,391234,1846823,937259,909564,1315585,717673,893922,531238,219586,311652,683726,479586,204140,1163097,457673,705424,397389,317275,1366681,105086,2032,209240,1840,15523,4573,518959,303284,215675,10943,11.32%
ASSAM,Darrang,1585.0,187783,928500,475273,453227,487039,268666,906413,441461,206607,234854,324843,246864,77979,603657,228409,375248,8419,40260,327322,597392,431,57,724,19,867,288706,268517,20189,1166,38.22%
MADHYA PRADESH,Datia,2902.0,160215,786754,420157,366597,491445,303815,413258,295309,116342,178967,321160,225662,95498,465594,194495,271099,15061,200270,747693,28483,490,7923,453,10,1019,203854,160453,43401,616,34.24%
RAJASTHAN,Dausa,3432.0,292502,1634409,857787,776622,938051,596935,382569,696358,260852,435506,684495,398151,286344,949914,459636,490278,433344,354337,1582335,45488,296,94,3737,115,1905,420694,361084,59610,1719,27.29%
KARNATAKA,Davanagere,5924.0,410176,1945497,986400,959097,1308540,720637,886968,636957,265763,371194,875207,585639,289568,1070290,400761,669529,233112,392595,1658465,265805,307,164,6417,1743,7176,530691,354680,176011,7320,11.46%
ORISSA,Debagarh,2940.0,75452,312520,158230,154290,197819,112649,308112,114701,45581,69120,165435,92384,73051,147085,65846,81239,110400,52112,296001,704,53,102,7,409,726,98758,91408,7350,825,37.10%
UTTARAKHAND,Dehradun,3088.0,347001,1696694,892199,804495,1259506,702216,1311867,437188,189983,247205,582768,458834,123934,1113926,433365,680561,111663,228901,1424916,202057,36454,11778,5117,217,2739,497638,228245,269393,25862,6.88%
JHARKHAND,Deoghar,2477.0,264347,1492073,775022,717051,793538,489837,456882,698535,285185,413350,551467,383691,167776,940606,391331,549275,180962,190036,1165140,302626,143,188,282,16067,1600,321710,257373,64337,1944,47.40%
UTTAR PRADESH,Deoria,2540.0,468346,3100946,1537436,1563510,1875239,1079288,778342,1225707,458148,767559,876246,639073,237173,2224700,898363,1326337,109894,468663,2730957,358539,818,1182,209,146,5469,665706,597778,67928,4469,31.36%
MADHYA PRADESH,Dewas,7020.0,308871,1563715,805359,758356,925369,550716,809187,638346,254643,383703,742676,451501,291175,821039,353858,467181,272701,292007,1376591,174259,2330,382,6497,72,1229,376009,274995,101014,3518,29.67%
TRIPURA,Dhalai,2400.0,84509,378230,194544,183686,276217,151643,363415,102013,42901,59112,155831,105657,50174,222399,88887,133512,210608,61688,307120,8256,175,39120,85,206,328,103528,89457,14071,273,26.23%
CHHATTISGARH,Dhamtari,4084.0,170951,799781,397897,401884,546833,303924,564400,252948,93973,158975,402895,226382,176513,396886,171515,225371,207633,58581,777188,10425,1196,667,3612,3685,364,210481,168689,41792,1016,18.59%
JHARKHAND,Dhanbad,2040.0,507064,2684487,1405956,1278531,1722204,1014950,1065916,962283,391006,571277,844504,658851,185653,1839983,747105,1092878,233119,437309,2149480,431762,9727,331,1268,77182,3494,664219,258764,405455,11568,28.57%
MADHYA PRADESH,Dhar,8153.0,425914,2185793,1112725,1073068,1077338,638479,609492,1108455,474246,634209,1027974,597079,430895,1157819,515646,642173,1222814,145436,2051219,116202,1607,328,12199,88,1889,515712,412348,103364,2388,40.28%
TAMIL NADU,Dharmapuri,4497.0,375873,1506843,774303,732540,917709,527599,491775,589134,246704,342430,751170,446057,305113,755673,328246,427427,63044,245392,1452956,38304,164,39,37,87,1167,487926,396819,91107,3651,5.26%
KARNATAKA,Dharwad,4260.0,382700,1847023,937206,909817,1301664,711776,560976,545359,225430,319929,784833,543776,241057,1062190,393430,668760,87548,177855,1390020,386834,1486,715,29037,2748,7436,483104,199707,283397,15013,9.53%
RAJASTHAN,Dhaulpur,3033.0,203754,1206516,653647,552869,683098,435721,849062,523418,217926,305492,523212,339110,184102,683304,314537,368767,58594,245695,1127520,72258,1356,92,2739,21,1842,273296,214670,58626,1330,39.82%
ASSAM,Dhemaji,3237.0,129869,686133,351249,334884,423028,237761,406805,263105,113488,149617,316800,186577,130223,369333,164672,204661,325560,44225,655052,13475,297,911,167,6315,1205,228262,211758,16504,1192,27.71%
ORISSA,Dhenkanal,4452.0,279364,1192811,612593,580218,829910,464093,575788,362901,148500,214401,435533,340552,94981,757278,272041,485237,162056,234079,1185542,4805,124,366,39,139,1069,352369,315390,36979,1810,29.98%
ASSAM,Dhubri,2176.0,414674,1949258,997848,951410,922341,511551,796887,1026917,486297,540620,669819,524898,144921,1279439,472950,806489,6332,70395,388380,1553023,254,101,1846,45,1502,521019,460602,60417,1828,51.06%
MAHARASHTRA,Dhule,7195.0,408874,2050862,1054031,996831,1293916,723388,886031,756946,330643,426303,936370,570448,365922,1114492,483583,630909,647315,127571,1825460,187901,1422,13405,12818,912,5291,528790,382777,146013,6065,33.23%
ARUNACHAL PRADESH,Dibang Valley,9129.0,1952,8004,4414,3590,4436,2614,847014,3568,1800,1768,3555,2228,1327,4449,2186,2263,5701,0,3141,111,7,126,2,4267,127,3230,2055,1175,17,16.95%
ASSAM,Dibrugarh,3381.0,276867,1326335,676434,649901,884531,491361,720521,441804,185073,256731,560557,368013,192544,765778,308421,457357,102871,58876,1198401,64526,2261,4673,1055,46,2405,377015,299852,77163,8817,28.97%
ASSAM,Dima Hasao,4888.0,42252,214102,110802,103300,140873,78559,1384820,73229,32243,40986,85028,56323,28705,129074,54479,74595,151843,4337,143593,4358,207,680,70,1170,714,58919,37610,21309,524,31.07%
NAGALAND,Dimapur,927.0,78605,378811,197394,181417,278037,150142,799878,100774,47252,53522,151350,99645,51705,227461,97749,129712,223989,0,108900,31212,566,1270,2148,157,319,111969,49116,62853,3303,17.33%
TAMIL NADU,Dindigul,6036.0,560773,2159775,1080938,1078837,1481834,816180,437850,677941,264758,413183,1105155,665469,439686,1054620,415469,639151,8064,452376,1879494,105012,313,256,71,138,4546,713542,443818,269724,9155,4.16%
MADHYA PRADESH,Dindori,7470.0,169630,704524,351913,352611,378714,222759,413491,325810,129154,196656,389925,203383,186542,314599,148530,166069,455789,39782,605435,6736,260,61,687,84006,3101,227795,218021,9774,554,56.23%
DAMAN AND DIU,Diu,39.0,10580,52074,25642,26432,38058,20327,438420,14016,5315,8701,15750,12932,2818,36324,12710,23614,123,1862,48613,3190,3,1,43,0,22,18850,9788,9062,368,4.34%
JAMMU AND KASHMIR,Doda,8912.0,79636,409936,213641,196295,219083,138620,384638,190853,75021,115832,151912,101144,50768,258024,112497,145527,39216,53408,187621,220614,422,21,22,42,722,133617,122267,11350,596,28.71%
GUJARAT,Dohad,3642.0,334272,2127086,1068651,1058435,1007171,599035,477279,1119915,469616,650299,999124,540881,458243,1127962,527770,600192,1580850,41444,2045243,66353,493,260,3331,114,1385,376504,323697,52807,1733,54.93%
JHARKHAND,Dumka,3761.0,275019,1321442,668514,652928,672409,406275,1413843,649033,262239,386794,624779,367108,257671,696663,301406,395257,571077,79614,1044726,106865,234,267,162,78622,4162,326978,303697,23281,1193,52.93%
RAJASTHAN,Dungarpur,3770.0,282029,1388552,696532,692020,681591,415820,421766,706961,280712,426249,641515,346624,294891,747037,349908,397129,983437,52267,1340065,28662,240,226,16141,853,1535,354363,322816,31547,1477,44.69%
CHHATTISGARH,Durg,8535.0,701707,3343872,1682101,1661771,2303378,1284612,520808,1040494,397489,643005,1496805,921729,575076,1847067,760372,1086695,397416,458040,3129745,83499,24276,19587,17209,42569,2683,883189,533448,349741,16141,19.98%
SIKKIM,East District,954.0,61567,283583,151432,132151,214329,121345,243605,69254,30087,39167,139678,92351,47327,143905,59081,84824,78436,15305,177910,6198,861,72455,214,1726,821,82138,40626,41512,3291,4.06%
MEGHALAYA,East Garo Hills,2603.0,58328,317917,161223,156694,192147,102513,245174,125770,58710,67060,126073,72262,53811,191844,88961,102883,305180,509,17272,3359,56,1004,38,5617,863,74216,62698,11518,288,41.78%
ANDHRA PRADESH,East Godavari,10807.0,1428528,5154296,2569688,2584608,3288577,1716933,185823,1865719,852755,1012964,2093681,1545831,547850,3060615,1023857,2036758,213195,945269,4983330,77777,738,413,4149,403,9661,1605841,1199479,406362,22411,8.51%
ARUNACHAL PRADESH,East Kameng,4134.0,14508,78690,38775,39915,38449,21599,372311,40241,17176,23065,31710,16424,15286,46980,22351,24629,72400,0,12333,652,36,452,23,27868,190,19718,14503,5215,57,44.03%
MEGHALAYA,East Khasi Hills,2748.0,164046,825922,410749,415173,578030,287270,200733,247892,123479,124413,326786,204303,122483,499136,206446,292690,661158,5642,144935,14185,2495,3111,303,115597,1902,215091,106248,108843,5032,23.39%
ARUNACHAL PRADESH,East Siang,3603.0,19107,99214,50116,49098,62576,34210,601163,36638,15906,20732,40222,23591,16631,58992,26525,32467,69979,0,27854,2289,69,776,30,49393,549,29021,19497,9524,450,8.84%
KERALA,Ernakulam,3063.0,814011,3282388,1619557,1662831,2855676,1425723,810178,426712,193834,232878,1249343,913249,336094,2033045,706308,1326737,16559,268411,1509557,514397,860,614,1176,1083,6564,1174691,369694,804997,88737,0.10%
TAMIL NADU,Erode,5760.0,658071,2251744,1129868,1121876,1492662,828300,306145,759082,301568,457514,1195773,732083,463690,1055971,397785,658186,21880,369483,2115455,76098,435,148,639,157,2913,843684,411286,432398,18604,2.73%
UTTAR PRADESH,Etah,2431.0,290683,1774480,947339,827141,1055202,647042,1466387,719278,300297,418981,545984,440244,105740,1228496,507095,721401,140,281011,1611126,146346,708,2887,5671,18,5260,401998,334246,67752,2635,38.47%
UTTAR PRADESH,Etawah,2311.0,277527,1581810,845856,735954,1062003,623583,681940,519807,222273,297534,506072,413713,92359,1075738,432143,643595,169,388283,1457892,113961,1045,1733,3917,94,1806,351126,265643,85483,2964,27.29%
UTTAR PRADESH,Faizabad,2341.0,423375,2470996,1259628,1211368,1450901,838339,612562,1020095,421289,598806,831209,597888,233321,1639787,661740,978047,931,555047,2094271,365806,1912,737,358,185,4502,589666,510378,79288,4746,38.73%
HARYANA,Faridabad,741.0,358919,1809733,966110,843623,1272739,734940,640263,536994,231170,305824,579229,476933,102296,1230504,489177,741327,0,223799,1588407,161680,34572,640,4883,249,9559,470681,87700,382981,43437,10.70%
PUNJAB,Faridkot,1458.0,120893,617508,326671,290837,381285,215767,939654,236223,110904,125319,221555,185049,36506,395953,141622,254331,0,240328,141363,3125,469789,155,1109,103,637,158863,99946,58917,4348,2.96%
UTTAR PRADESH,Farrukhabad,2181.0,314144,1885204,1006240,878964,1092677,654827,520083,792527,351413,441114,592267,494545,97722,1292937,511695,781242,230,312712,1596278,276846,3160,3161,487,100,2035,411490,316647,94843,2624,39.18%
HARYANA,Fatehabad,2538.0,180637,942011,495360,446651,557578,327471,146613,384433,167889,216544,369083,263498,105585,572928,231862,341066,0,284357,779243,8360,150969,171,1172,530,570,258380,203020,55360,3210,11.02%
PUNJAB,Fatehgarh Sahib,1180.0,118100,600163,320795,279368,426033,238696,323414,174130,82099,92031,214783,182777,32006,385380,138018,247362,0,192493,152851,16808,427521,48,178,251,808,174896,117559,57337,5138,3.49%
UTTAR PRADESH,Fatehpur,4152.0,472238,2632733,1384722,1248011,1512166,911003,645813,1120567,473719,646848,1063929,713736,350193,1568804,670986,897818,340,651480,2274674,350700,402,172,199,47,4338,636540,558807,77733,3385,42.63%
UTTAR PRADESH,Firozabad,2407.0,414266,2498156,1332046,1166110,1521806,912314,488208,976350,419732,556618,761521,621840,139681,1736635,710206,1026429,2565,473890,2140745,314812,1804,3395,19077,61,14892,535368,349747,185621,5834,32.03%
PUNJAB,Firozpur,5305.0,385994,2029074,1071637,957437,1227511,707070,574064,801563,364567,436996,756695,596406,160289,1272379,475231,797148,0,855726,906408,6844,1090815,454,1143,278,3774,502390,348522,153868,10042,9.42%
KARNATAKA,Gadag,4657.0,219096,1064570,537147,527423,700177,397178,387851,364393,139969,224424,495722,310412,185310,568848,226735,342113,61654,174196,907750,143665,231,79,5993,74,3346,291972,180066,111906,3373,19.50%
MAHARASHTRA,Gadchiroli,14412.0,250435,1072942,541328,531614,708365,395110,537470,364577,146218,218359,584237,323338,260899,488705,217990,270715,415306,120745,927411,21063,681,82695,454,30047,6719,330840,293586,37254,1663,20.58%
ORISSA,Gajapati,4325.0,128523,577817,282882,294935,262537,153663,1106438,315280,129219,186061,293933,155907,138026,283884,126975,156909,313714,39175,353160,1556,53,2180,66,4,1316,175145,152095,23050,635,38.76%
JAMMU AND KASHMIR,Ganderbal,259.0,45361,297446,158720,138726,143276,90581,771098,154170,68139,86031,100890,73305,27585,196556,85415,111141,61070,117,5592,290581,486,25,8,4,344,77346,63788,13558,878,7.82%
GUJARAT,Gandhinagar,2140.0,289990,1391753,723864,667889,1030494,582686,795951,361259,141178,220081,534976,408075,126901,856777,315789,540988,18204,108608,1319586,57273,1985,497,6405,82,2688,433258,237624,195634,12107,16.57%
RAJASTHAN,Ganganagar,10978.0,387511,1969168,1043340,925828,1193343,710908,1212503,775825,332432,443393,912672,596320,316352,1056496,447020,609476,13477,720412,1437144,50688,474853,938,1988,164,1316,562594,397697,164897,6295,18.23%
ORISSA,Ganjam,8206.0,758267,3529031,1779218,1749813,2210050,1262652,589962,1318981,516566,802415,1501772,990027,511745,2027259,789191,1238068,118928,688235,3486059,13315,590,174,170,76,4672,1015394,795476,219918,9049,21.88%
JHARKHAND,Garhwa,4093.0,254697,1322784,683575,639209,653476,405161,802630,669308,278414,390894,571431,335451,235980,751353,348124,403229,205874,319946,1104475,194680,123,371,20,4591,1356,292052,272872,19180,565,53.21%
UTTARAKHAND,Garhwal,5329.0,161778,687271,326829,360442,494889,262148,1166283,192382,64681,127701,274152,147373,126779,413119,179456,233663,2215,122361,660507,22931,619,58,212,51,732,316462,279682,36780,2633,11.93%
UTTAR PRADESH,Gautam Buddha Nagar,1282.0,327090,1648115,890214,757901,1122947,666065,903996,525168,224149,301019,569109,443384,125725,1079006,446830,632176,2215,216105,1394025,215500,9261,895,4518,91,16459,509770,170835,338935,53181,15.17%
BIHAR,Gaya,4976.0,688425,4391418,2266566,2124852,2297613,1368803,475152,2093805,897763,1196042,1664062,1076170,587892,2727356,1190396,1536960,3098,1334351,3876395,488121,913,870,1723,108,19345,807571,696289,111282,6856,54.67%
UTTAR PRADESH,Ghaziabad,1179.0,850676,4681645,2488834,2192811,3123264,1811397,1014787,1558381,677437,880944,1520538,1231615,288923,3161107,1257219,1903888,3968,773463,3414427,1186776,23001,3487,16412,265,18251,1191723,355407,836316,78116,16.59%
UTTAR PRADESH,Ghazipur,3377.0,546664,3620268,1855075,1765193,2197549,1293553,363364,1422719,561522,861197,1204602,808700,395902,2415666,1046375,1369291,28712,726641,3233790,368153,810,3145,213,184,9792,761640,700173,61467,5309,41.04%
JHARKHAND,Giridih,4962.0,396521,2445474,1258098,1187376,1253475,783736,562846,1191999,474362,717637,1036277,623946,412331,1409197,634152,775045,238188,325493,1856202,508586,937,650,1503,59218,3733,499450,452564,46886,1944,47.53%
ASSAM,Goalpara,1824.0,198454,1008183,513292,494891,563577,304302,383720,444606,208990,235616,362573,267118,95455,645610,246174,399436,231570,45094,347878,579929,771,194,477,103,969,268114,228610,39504,1364,40.15%
JHARKHAND,Godda,2266.0,253648,1313551,677927,635624,604519,376212,408160,709032,301715,407317,552191,344019,208172,761360,333908,427452,279208,115567,937126,289182,97,128,115,47067,2041,292030,276454,15576,874,51.81%
ASSAM,Golaghat,3502.0,227197,1066888,543161,523727,721764,396475,272047,345124,146686,198438,479928,309104,170824,586960,234057,352903,111765,62298,917426,90312,1131,3863,530,1347,1697,327083,292893,34190,3073,20.60%
UTTAR PRADESH,Gonda,4003.0,541247,3433919,1787146,1646773,1679994,1034181,668255,1753925,752965,1000960,1170552,855848,314704,2263367,931298,1332069,870,531973,2739076,678615,1893,649,338,57,8556,726372,673578,52794,4313,59.26%
MAHARASHTRA,Gondiya,5234.0,292369,1322507,661554,660953,1004243,542837,869354,318264,118717,199547,665419,383151,282268,657088,278403,378685,214253,175961,1153861,26157,2160,125282,1568,5080,6572,386515,319702,66813,2866,18.75%
BIHAR,Gopalganj,2033.0,413044,2562012,1267666,1294346,1382998,793905,112053,1179014,473761,705253,728201,539586,188615,1833811,728080,1105731,60807,320064,2119262,436057,271,167,133,28,3631,554058,515925,38133,3707,42.75%
UTTAR PRADESH,Gorakhpur,3321.0,692960,4440895,2277777,2163118,2700328,1593890,551606,1740567,683887,1056680,1351629,1016876,334753,3089266,1260901,1828365,18172,936061,4009037,403847,2123,2848,460,207,12711,951128,761958,189170,14597,26.17%
KARNATAKA,Gulbarga,10954.0,471601,2566326,1301755,1264571,1427368,828359,815253,1138958,473396,665562,1087028,680001,407027,1479298,621754,857544,65259,648782,2011014,513125,826,9589,4865,330,18233,600007,400704,199303,9752,21.10%
JHARKHAND,Gumla,5360.0,188988,1025213,514390,510823,559720,321795,385611,465493,192595,272898,487508,264774,222734,537705,249616,288089,706754,32459,309563,51429,221,531,23,457468,3529,233074,216629,16445,831,46.59%
MADHYA PRADESH,Guna,6390.0,244401,1241519,649362,592157,653980,400537,468125,587539,248825,338714,514897,335454,179443,726622,313908,412714,190819,193115,1172248,49203,3271,529,13474,52,1534,285085,212765,72320,2482,45.67%
ANDHRA PRADESH,Guntur,11391.0,1296609,4887813,2440521,2447292,2960441,1634726,305135,1927372,805795,1121577,2381624,1442370,939254,2506189,998151,1508038,247089,957407,4217597,559770,764,323,3282,332,15982,1582990,1069877,513113,19383,7.26%
PUNJAB,Gurdaspur,3551.0,443666,2298323,1212617,1085706,1634719,907660,527065,663604,304957,358647,757138,637652,119486,1541185,574965,966220,0,580576,1074332,27667,1002874,405,580,812,15066,606348,420860,185488,14428,5.11%
HARYANA,Gurgaon,1258.0,326428,1514432,816690,697742,1111116,638666,517934,403316,178024,225292,544716,432456,112260,969716,384234,585482,0,197937,1408801,70842,15097,944,7451,254,1318,523691,141703,381988,67087,10.39%
MADHYA PRADESH,Gwalior,4560.0,383845,2032036,1090327,941709,1357210,803114,316911,674826,287213,387613,685311,548820,136491,1346725,541507,805218,72133,393068,1835299,141735,24790,4361,18058,217,3457,444892,172720,272172,15779,22.38%
ASSAM,Hailakandi,1327.0,143350,659296,337890,321406,407366,226836,298622,251930,111054,140876,214240,170792,43448,445056,167098,277958,691,70659,251194,397653,84,490,247,636,512,175417,159215,16202,1211,51.07%
UTTAR PRADESH,Hamirpur,4021.0,204863,1104285,593537,510748,653299,408125,691068,450986,185412,265574,443655,308527,135128,660630,285010,375620,474,241198,1010014,91269,196,74,41,273,1604,311381,256081,55300,1196,30.92%
UTTAR PRADESH,Hamirpur,4021.0,204863,1104285,593537,510748,653299,408125,1022115,450986,185412,265574,443655,308527,135128,660630,285010,375620,474,241198,1010014,91269,196,74,41,273,1604,311381,256081,55300,1196,12.60%
HIMACHAL PRADESH,Hamirpur,1118.0,105519,454768,217070,237698,358091,180555,589093,96677,36515,60162,241931,118724,123207,212837,98346,114491,3044,109256,449412,3711,591,95,293,9,414,211348,196116,15232,2521,12.60%
HIMACHAL PRADESH,Hamirpur,1118.0,105519,454768,217070,237698,358091,180555,814269,96677,36515,60162,241931,118724,123207,212837,98346,114491,3044,109256,449412,3711,591,95,293,9,414,211348,196116,15232,2521,4.43%
RAJASTHAN,Hanumangarh,9656.0,336192,1774692,931184,843508,1034136,624281,871687,740556,306903,433653,835260,512802,322458,939432,418382,521050,14289,494189,1433067,118673,216997,241,1935,138,2099,497753,389059,108694,3360,19.08%
WEST BENGAL,Haora,1467.0,1061336,4850029,2500819,2349210,3605206,1942824,774164,1244823,557995,686828,1819845,1498170,321675,3030184,1002649,2027535,15094,718951,3535844,1270641,4380,1258,9699,1265,18276,1352697,483384,869313,30751,12.84%
MADHYA PRADESH,Harda,3334.0,113379,570465,294838,275627,352550,203807,849305,217915,91031,126884,230979,156852,74127,339486,137986,201500,159678,92865,527462,38640,676,93,1573,55,1283,144559,112714,31845,986,33.11%
UTTAR PRADESH,Hardoi,5986.0,730442,4092845,2191442,1901403,2221601,1374587,630166,1871244,816855,1054389,1318946,1091952,226994,2773899,1099490,1674409,349,1274505,3508131,556219,5688,6671,446,98,9770,907677,786613,121064,3845,51.16%
UTTARAKHAND,Hardwar,2360.0,338104,1890422,1005295,885127,1178354,691411,306875,712068,313884,398184,578121,497810,80311,1312301,507485,804816,6323,411274,1214935,648119,17364,709,2501,46,1870,488011,301828,186183,11947,24.70%
KARNATAKA,Hassan,6814.0,433453,1776421,883667,892754,1225256,668836,635397,551165,214831,336334,903580,560452,343128,872841,323215,549626,32329,345031,1630814,120011,289,623,5820,3,3250,628981,496103,132878,4851,6.33%
KARNATAKA,Haveri,4823.0,330414,1597668,819128,778540,1085443,603793,374360,512225,215335,296890,730066,490731,239335,867602,328397,539205,141380,219976,1281878,297927,419,68,9834,702,4434,413564,315076,98488,2456,15.28%
JHARKHAND,Hazaribagh,3555.0,304749,1734495,890881,843614,1013249,596113,328076,721246,294768,426478,654636,423472,231164,1079859,467409,612450,121768,303515,1397227,281247,1312,71,1676,34154,1671,381748,312983,68765,3532,35.75%
MAHARASHTRA,Hingoli,4827.0,228868,1177345,606294,571051,790743,450551,202088,386602,155743,230859,569182,330903,238279,608163,275391,332772,111954,182565,863199,127552,643,176679,5278,103,2899,284369,242456,41913,1221,28.05%
HARYANA,Hisar,3983.0,335608,1743931,931562,812369,1114311,670200,132245,629620,261362,368258,691621,488321,203300,1052310,443241,609069,0,408785,1701061,21650,12270,334,3620,33,3018,456126,302013,154113,10132,9.71%
MADHYA PRADESH,Hoshangabad,6703.0,257199,1241350,648725,592625,810644,469199,600375,430706,179526,251180,478082,345435,132647,763268,303290,459978,197300,205007,1175203,52269,3127,1550,3888,107,753,315396,209650,105746,2871,24.72%
PUNJAB,Hoshiarpur,3386.0,336994,1586625,809057,777568,1199699,637927,1431632,386926,171130,215796,499822,412506,87316,1086803,396551,690252,0,557504,1000743,23089,538208,3476,2034,531,3576,551265,422673,128592,13747,4.49%
