state_name,year,details,male,female,total
RAJASTHAN,2010,Detenus Released - Released on bail,443,0,443
RAJASTHAN,2010,Detenus Released - Other releases (temporary transfer etc.),19,0,19
RAJASTHAN,2010,Total Detenus Released,608,0,608
RAJASTHAN,2011,Convicts Released - Released after completion of conviction,2357,7,2364
RAJASTHAN,2011,Convicts Released - Premature release,17,0,17
RAJASTHAN,2011,Convicts Released - Released on appeal,855,13,868
RAJASTHAN,2011,Convicts Released - Released on bail,5057,226,5283
RAJASTHAN,2011,Convicts Released - Pardons,0,1,1
RAJASTHAN,2011,Convicts Released - Transferred to other States,0,0,0
RAJASTHAN,2011,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",822,44,866
RAJASTHAN,2011,Total Convicts Released,9108,291,9399
RAJASTHAN,2011,Under trials Released - Acquitted,5395,183,5578
RAJASTHAN,2011,Under trials Released - Released on appeal,1789,63,1852
RAJASTHAN,2011,Under trials Released - Released on bail,76054,2738,78792
RAJASTHAN,2011,Under trials Released - Transferred to other States,0,0,0
RAJASTHAN,2011,Under trials Released - Extradited,0,0,0
RAJASTHAN,2011,Under trials Released - Other releases (transferred to Mental/Civil hospital),1223,243,1466
RAJASTHAN,2011,Total Under trials Released,84461,3227,87688
RAJASTHAN,2011,Detenus Released - Released on completion of detention period,3,0,3
RAJASTHAN,2011,Detenus Released - Released before completion of detention period,3,0,3
RAJASTHAN,2011,Detenus Released - Released on bail,5,0,5
RAJASTHAN,2011,Detenus Released - Other releases (temporary transfer etc.),0,0,0
RAJASTHAN,2011,Total Detenus Released,11,0,11
RAJASTHAN,2012,Convicts Released - Released after completion of conviction,1653,18,1671
RAJASTHAN,2012,Convicts Released - Premature release,100,0,100
RAJASTHAN,2012,Convicts Released - Released on appeal,967,7,974
RAJASTHAN,2012,Convicts Released - Released on bail,2310,464,2774
RAJASTHAN,2012,Convicts Released - Pardons,9,2,11
RAJASTHAN,2012,Convicts Released - Transferred to other States,3,0,3
RAJASTHAN,2012,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",609,17,626
RAJASTHAN,2012,Total Convicts Released,5651,508,6159
RAJASTHAN,2012,Under trials Released - Acquitted,5090,164,5254
RAJASTHAN,2012,Under trials Released - Released on appeal,5596,120,5716
RAJASTHAN,2012,Under trials Released - Released on bail,67418,2781,70199
RAJASTHAN,2012,Under trials Released - Transferred to other States,0,0,0
RAJASTHAN,2012,Under trials Released - Extradited,0,0,0
RAJASTHAN,2012,Under trials Released - Other releases (transferred to Mental/Civil hospital),251,33,284
RAJASTHAN,2012,Total Under trials Released,78355,3098,81453
RAJASTHAN,2012,Detenus Released - Released on completion of detention period,3,0,3
RAJASTHAN,2012,Detenus Released - Released before completion of detention period,2,0,2
RAJASTHAN,2012,Detenus Released - Released on bail,0,0,0
RAJASTHAN,2012,Detenus Released - Other releases (temporary transfer etc.),0,0,0
RAJASTHAN,2012,Total Detenus Released,5,0,5
SIKKIM,2001,Convicts Released - Released after completion of conviction,17,0,17
SIKKIM,2001,Convicts Released - Premature release,4,2,6
SIKKIM,2001,Convicts Released - Released on appeal,0,0,0
SIKKIM,2001,Convicts Released - Released on bail,1,0,1
SIKKIM,2001,Convicts Released - Pardons,0,0,0
SIKKIM,2001,Convicts Released - Transferred to other States,0,0,0
SIKKIM,2001,"Convicts Released - Other Releases (due to illness, transferred to Mental hospital)",0,0,0
SIKKIM,2001,Total Convicts Released,22,2,24
SIKKIM,2001,Under trials Released - Acquitted,24,0,24
SIKKIM,2001,Under trials Released - Released on appeal,37,1,38
SIKKIM,2001,Under trials Released - Released on bail,25,0,25
SIKKIM,2001,Under trials Released - Transferred to other States,0,0,0
SIKKIM,2001,Under trials Released - Extradited,0,0,0
SIKKIM,2001,Under trials Released - Other releases (transferred to Mental/Civil hospital),0,0,0
