STATE/UT,Year,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
ANDHRA PRADESH,2003,PROHIBITION ACT,0,0,0,361,28,389,298,48,346,73,12,85,732,88,820
ANDHRA PRADESH,2003,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,37,0,37,74,0,74,11,0,11,122,0,122
ANDHRA PRADESH,2003,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,29,2,31,34,1,35,9,0,9,72,3,75
ANDHRA PRADESH,2003,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,28,4,32,26,2,28,3,0,3,57,6,63
ANDHRA PRADESH,2003,INDIAN RAILWAYS ACT,0,0,0,39,5,44,32,0,32,6,0,6,77,5,82
ANDHRA PRADESH,2003,REGISTRATION OF FOREIGNERS ACT,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
ANDHRA PRADESH,2003,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,38,0,38,19,0,19,8,0,8,65,0,65
ANDHRA PRADESH,2003,INDIAN PASSPORT ACT,0,0,0,0,0,0,27,0,27,0,0,0,27,0,27
ANDHRA PRADESH,2003,ESSENTIAL COMMODITIES ACT,0,0,0,4,0,4,3,0,3,0,0,0,7,0,7
ANDHRA PRADESH,2003,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,DOWRY PROHIBITION ACT,0,0,0,37,7,44,29,3,32,24,1,25,90,11,101
ANDHRA PRADESH,2003,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,PREVENTION OF CORRUPTION ACT-1988,0,0,0,6,0,6,3,0,3,1,0,1,10,0,10
ANDHRA PRADESH,2003,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
ANDHRA PRADESH,2003,OTHER SLL OFFENCE,0,0,0,75,6,81,42,4,46,9,0,9,126,10,136
ANDHRA PRADESH,2003,TOTAL,4,0,4,1240,103,1343,1086,91,1177,277,18,295,2607,212,2819
ANDHRA PRADESH,2004,ARMS ACT,0,0,0,78,5,83,49,0,49,0,0,0,127,5,132
ANDHRA PRADESH,2004,N.D.P.S. ACT,0,0,0,117,13,130,169,15,184,21,12,33,307,40,347
ANDHRA PRADESH,2004,GAMBLING ACT,0,0,0,32,0,32,29,0,29,7,0,7,68,0,68
ANDHRA PRADESH,2004,EXCISE ACT,8,0,8,269,26,295,284,23,307,83,8,91,644,57,701
ANDHRA PRADESH,2004,PROHIBITION ACT,13,0,13,266,38,304,360,34,394,80,27,107,719,99,818
ANDHRA PRADESH,2004,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,1,0,1,6,1,7,0,0,0,7,1,8
ANDHRA PRADESH,2004,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,23,11,34,12,0,12,1,0,1,36,11,47
ANDHRA PRADESH,2004,INDIAN RAILWAYS ACT,0,0,0,92,5,97,79,1,80,20,0,20,191,6,197
ANDHRA PRADESH,2004,REGISTRATION OF FOREIGNERS ACT,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
ANDHRA PRADESH,2004,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,2,0,2,3,0,3,0,0,0,5,0,5
ANDHRA PRADESH,2004,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,19,0,19,29,0,29,8,0,8,56,0,56
ANDHRA PRADESH,2004,INDIAN PASSPORT ACT,0,0,0,5,0,5,3,0,3,0,0,0,8,0,8
ANDHRA PRADESH,2004,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,2004,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,DOWRY PROHIBITION ACT,0,0,0,42,0,42,46,6,52,8,0,8,96,6,102
ANDHRA PRADESH,2004,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,PREVENTION OF CORRUPTION ACT-1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,OTHER SLL OFFENCE,0,0,0,23,1,24,30,2,32,4,2,6,57,5,62
ANDHRA PRADESH,2004,TOTAL,21,0,21,969,100,1069,1101,82,1183,232,49,281,2323,231,2554
ANDHRA PRADESH,2005,ARMS ACT,0,0,0,93,1,94,55,3,58,3,0,3,151,4,155
ANDHRA PRADESH,2005,N.D.P.S. ACT,0,0,0,105,4,109,204,17,221,19,3,22,328,24,352
ANDHRA PRADESH,2005,GAMBLING ACT,0,0,0,25,0,25,34,0,34,12,0,12,71,0,71
ANDHRA PRADESH,2005,EXCISE ACT,0,0,0,275,15,290,404,48,452,71,10,81,750,73,823
ANDHRA PRADESH,2005,PROHIBITION ACT,0,0,0,160,29,189,233,30,263,47,2,49,440,61,501
ANDHRA PRADESH,2005,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,27,2,29,35,6,41,9,0,9,71,8,79
ANDHRA PRADESH,2005,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANDHRA PRADESH,2005,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,9,14,23,14,7,21,3,0,3,26,21,47
ANDHRA PRADESH,2005,INDIAN RAILWAYS ACT,0,0,0,48,0,48,59,9,68,28,0,28,135,9,144
ANDHRA PRADESH,2005,REGISTRATION OF FOREIGNERS ACT,0,0,0,0,0,0,3,1,4,0,0,0,3,1,4
ANDHRA PRADESH,2005,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,15,0,15,40,0,40,5,2,7,60,2,62
ANDHRA PRADESH,2005,INDIAN PASSPORT ACT,0,0,0,0,0,0,13,2,15,0,0,0,13,2,15
ANDHRA PRADESH,2005,ESSENTIAL COMMODITIES ACT,0,0,0,1,0,1,2,0,2,0,0,0,3,0,3
ANDHRA PRADESH,2005,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,DOWRY PROHIBITION ACT,0,0,0,33,4,37,53,11,64,10,7,17,96,22,118
ANDHRA PRADESH,2005,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3
ANDHRA PRADESH,2005,PREVENTION OF CORRUPTION ACT-1988,0,0,0,0,0,0,5,0,5,0,0,0,5,0,5
ANDHRA PRADESH,2005,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,OTHER SLL OFFENCE,0,0,0,68,2,70,110,3,113,18,0,18,196,5,201
ANDHRA PRADESH,2005,TOTAL,0,0,0,862,71,933,1265,137,1402,225,24,249,2352,232,2584
ANDHRA PRADESH,2006,ARMS ACT,0,0,0,81,4,85,76,0,76,7,0,7,164,4,168
ANDHRA PRADESH,2006,N.D.P.S. ACT,0,0,0,108,7,115,219,18,237,58,2,60,385,27,412
ANDHRA PRADESH,2006,GAMBLING ACT,0,0,0,34,0,34,54,0,54,6,0,6,94,0,94
ANDHRA PRADESH,2006,EXCISE ACT,0,0,0,194,12,206,283,34,317,104,7,111,581,53,634
ANDHRA PRADESH,2006,PROHIBITION ACT,0,0,0,163,10,173,217,32,249,62,0,62,442,42,484
ANDHRA PRADESH,2006,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,32,0,32,48,0,48,17,0,17,97,0,97
ANDHRA PRADESH,2006,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,16,18,34,17,2,19,14,1,15,47,21,68
ANDHRA PRADESH,2006,INDIAN RAILWAYS ACT,0,0,0,54,1,55,80,0,80,55,0,55,189,1,190
ANDHRA PRADESH,2006,REGISTRATION OF FOREIGNERS ACT,0,0,0,4,0,4,2,1,3,0,0,0,6,1,7
ANDHRA PRADESH,2006,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,8,0,8,3,0,3,0,0,0,11,0,11
ANDHRA PRADESH,2006,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,34,2,36,63,3,66,2,2,4,99,7,106
ANDHRA PRADESH,2006,INDIAN PASSPORT ACT,0,0,0,1,0,1,7,0,7,0,0,0,8,0,8
ANDHRA PRADESH,2006,ESSENTIAL COMMODITIES ACT,0,0,0,5,0,5,3,0,3,0,0,0,8,0,8
ANDHRA PRADESH,2006,ANTIQUITIES AND ART TREASURE ACT,0,0,0,1,0,1,4,0,4,1,0,1,6,0,6
ANDHRA PRADESH,2006,DOWRY PROHIBITION ACT,0,0,0,53,0,53,66,10,76,43,5,48,162,15,177
ANDHRA PRADESH,2006,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,PREVENTION OF CORRUPTION ACT-1988,0,0,0,0,0,0,2,1,3,0,0,0,2,1,3
ANDHRA PRADESH,2006,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
ANDHRA PRADESH,2006,OTHER SLL OFFENCE,0,0,0,70,9,79,65,10,75,30,0,30,165,19,184
ANDHRA PRADESH,2006,TOTAL,0,0,0,858,63,921,1209,111,1320,401,17,418,2468,191,2659
ANDHRA PRADESH,2007,ARMS ACT,0,0,0,58,1,59,51,4,55,8,2,10,117,7,124
ANDHRA PRADESH,2007,N.D.P.S. ACT,0,0,0,93,8,101,120,9,129,26,1,27,239,18,257
ANDHRA PRADESH,2007,GAMBLING ACT,0,0,0,20,0,20,10,1,11,1,1,2,31,2,33
ANDHRA PRADESH,2007,EXCISE ACT,0,0,0,132,3,135,174,24,198,74,7,81,380,34,414
ANDHRA PRADESH,2007,PROHIBITION ACT,0,0,0,103,14,117,130,25,155,40,14,54,273,53,326
ANDHRA PRADESH,2007,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,49,6,55,10,16,26,2,1,3,61,23,84
ANDHRA PRADESH,2007,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,22,1,23,0,0,0,0,0,0,22,1,23
ANDHRA PRADESH,2007,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,10,5,15,23,6,29,0,1,1,33,12,45
ANDHRA PRADESH,2007,INDIAN RAILWAYS ACT,0,0,0,62,0,62,38,0,38,8,0,8,108,0,108
ANDHRA PRADESH,2007,REGISTRATION OF FOREIGNERS ACT,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
ANDHRA PRADESH,2007,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,13,0,13,0,0,0,0,0,0,13,0,13
ANDHRA PRADESH,2007,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,15,0,15,38,2,40,4,0,4,57,2,59
ANDHRA PRADESH,2007,INDIAN PASSPORT ACT,0,0,0,5,0,5,1,1,2,0,0,0,6,1,7
ANDHRA PRADESH,2007,ESSENTIAL COMMODITIES ACT,0,0,0,2,0,2,2,0,2,0,0,0,4,0,4
ANDHRA PRADESH,2007,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,DOWRY PROHIBITION ACT,0,0,0,49,6,55,70,17,87,11,4,15,130,27,157
ANDHRA PRADESH,2007,FOREIGN EXCHANGE REGULATION ACT-1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,PREVENTION OF CORRUPTION ACT-1988,0,0,0,3,0,3,16,0,16,4,0,4,23,0,23
ANDHRA PRADESH,2007,CONSER.OF FORGN.EXCH.&PREV. OF SMUG.ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,OTHER SLL OFFENCE,0,0,0,35,1,36,82,4,86,10,6,16,127,11,138
ANDHRA PRADESH,2007,TOTAL,0,0,0,672,45,717,765,109,874,188,37,225,1625,191,1816
ANDHRA PRADESH,2008,ARMS ACT,0,0,0,44,1,45,53,1,54,0,0,0,97,2,99
ANDHRA PRADESH,2008,N.D.P.S. ACT,0,0,0,30,3,33,75,3,78,11,0,11,116,6,122
ANDHRA PRADESH,2008,GAMBLING ACT,0,0,0,9,0,9,26,2,28,2,0,2,37,2,39
ANDHRA PRADESH,2008,EXCISE ACT,0,0,0,116,6,122,202,37,239,58,14,72,376,57,433
ANDHRA PRADESH,2008,PROHIBITION ACT,0,0,0,86,41,127,140,56,196,25,20,45,251,117,368
ANDHRA PRADESH,2008,EXPLOSIVE & EXPLOSIVE SUBST. ACT,0,0,0,45,5,50,38,14,52,9,5,14,92,24,116
ANDHRA PRADESH,2008,TERRORIST & DISRUPTIVE ACTIVITIES (TATA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,IMMORAL TRAFFIC (PREVENTION) ACT,0,0,0,8,7,15,9,0,9,2,2,4,19,9,28
ANDHRA PRADESH,2008,INDIAN RAILWAYS ACT,0,0,0,59,4,63,53,0,53,19,0,19,131,4,135
ANDHRA PRADESH,2008,REGISTRATION OF FOREIGNERS ACT,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2
ANDHRA PRADESH,2008,PROTECTION OF CIVIL RIGHTS ACT,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2
ANDHRA PRADESH,2008,SC/ST (PREVENTION OF ATROCITIES) ACT,0,0,0,18,1,19,51,7,58,6,0,6,75,8,83
ANDHRA PRADESH,2008,INDIAN PASSPORT ACT,0,0,0,1,0,1,7,0,7,0,0,0,8,0,8
ANDHRA PRADESH,2008,ESSENTIAL COMMODITIES ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,ANTIQUITIES AND ART TREASURE ACT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
