State/UT,YEAR,Vocation/Activity,Gross Value of Sale Proceeds / Earning (In Rs.)
West Bengal,2013,Total,5718539
Andaman and Nicobar Islands,2013,agricultural,0
Andaman and Nicobar Islands,2013,industrial,96370
Andaman and Nicobar Islands,2013,Total,96370
Chandigarh,2013,carpentry/canning/welding,19507089
Chandigarh,2013,farming,239004
Chandigarh,2013,Total,19746093
Dadra and Nagar Haveli,2013,nil,NA
Dadra and Nagar Haveli,2013,Total,NA
Daman and Diu,2013,bamboo basket,37500
Daman and Diu,2013,miniature model house nad decorative ite,750000
Daman and Diu,2013,Total,787500
Delhi,2013,carpentry unit,180132075
Delhi,2013,chemical unit,18143111
Delhi,2013,paper unit,13800981
Delhi,2013,tailoring unit,5421955
Delhi,2013,weaving unit,4442346
Delhi,2013,tihar baking school,55415502
Delhi,2013,shoe making unit (wages received),1930048
Delhi,2013,Total,279286018
Lakshadweep,2013,nil,NA
Lakshadweep,2013,Total,NA
Pondicherry,2013,nil,NA
Pondicherry,2013,Total,NA
