STATE/UT,YEAR,PERIOD OF DETENTION,Male,Female,Total
MIZORAM,2013,2-3 Years,0,0,0
MIZORAM,2013,3-5 Years,0,0,0
MIZORAM,2013,Above 5 Years,0,0,0
MIZORAM,2013,Total,402,58,460
NAGALAND,2013,Upto 3 months,121,4,125
NAGALAND,2013,3-6 months,72,2,74
NAGALAND,2013,6-12 months,67,0,67
NAGALAND,2013,1-2 Years,57,1,58
NAGALAND,2013,2-3 Years,12,0,12
NAGALAND,2013,3-5 Years,2,1,3
NAGALAND,2013,Above 5 Years,2,0,2
NAGALAND,2013,Total,333,8,341
ORISSA,2013,Upto 3 months,4061,214,4275
ORISSA,2013,3-6 months,2708,144,2852
ORISSA,2013,6-12 months,1646,74,1720
ORISSA,2013,1-2 Years,1226,55,1281
ORISSA,2013,2-3 Years,495,23,518
ORISSA,2013,3-5 Years,255,6,261
ORISSA,2013,Above 5 Years,55,3,58
ORISSA,2013,Total,10446,519,10965
PUNJAB,2013,Upto 3 months,4583,253,4836
PUNJAB,2013,3-6 months,4380,182,4562
PUNJAB,2013,6-12 months,3164,153,3317
PUNJAB,2013,1-2 Years,2407,126,2533
PUNJAB,2013,2-3 Years,1845,96,1941
PUNJAB,2013,3-5 Years,930,93,1023
PUNJAB,2013,Above 5 Years,221,73,294
PUNJAB,2013,Total,17530,976,18506
RAJASTHAN,2013,Upto 3 months,3998,89,4087
RAJASTHAN,2013,3-6 months,2347,101,2448
RAJASTHAN,2013,6-12 months,2692,91,2783
RAJASTHAN,2013,1-2 Years,1937,87,2024
RAJASTHAN,2013,2-3 Years,1157,47,1204
RAJASTHAN,2013,3-5 Years,576,23,599
RAJASTHAN,2013,Above 5 Years,96,5,101
RAJASTHAN,2013,Total,12803,443,13246
SIKKIM,2013,Upto 3 months,49,3,52
SIKKIM,2013,3-6 months,37,0,37
SIKKIM,2013,6-12 months,25,0,25
SIKKIM,2013,1-2 Years,7,3,10
SIKKIM,2013,2-3 Years,2,0,2
SIKKIM,2013,3-5 Years,0,0,0
SIKKIM,2013,Above 5 Years,0,0,0
SIKKIM,2013,Total,120,6,126
TAMILNADU,2013,Upto 3 months,3121,299,3420
TAMILNADU,2013,3-6 months,2327,126,2453
TAMILNADU,2013,6-12 months,1664,52,1716
TAMILNADU,2013,1-2 Years,247,19,266
TAMILNADU,2013,2-3 Years,169,0,169
TAMILNADU,2013,3-5 Years,206,1,207
TAMILNADU,2013,Above 5 Years,61,0,61
TAMILNADU,2013,Total,7795,497,8292
TRIPURA,2013,Upto 3 months,268,7,275
TRIPURA,2013,3-6 months,74,3,77
TRIPURA,2013,6-12 months,29,1,30
TRIPURA,2013,1-2 Years,7,0,7
TRIPURA,2013,2-3 Years,5,0,5
TRIPURA,2013,3-5 Years,4,0,4
TRIPURA,2013,Above 5 Years,1,0,1
TRIPURA,2013,Total,388,11,399
UTTAR PRADESH,2013,Upto 3 months,18865,763,19628
UTTAR PRADESH,2013,3-6 months,11770,514,12284
UTTAR PRADESH,2013,6-12 months,9751,467,10218
UTTAR PRADESH,2013,1-2 Years,7546,330,7876
UTTAR PRADESH,2013,2-3 Years,4323,178,4501
UTTAR PRADESH,2013,3-5 Years,2603,76,2679
UTTAR PRADESH,2013,Above 5 Years,893,21,914
UTTAR PRADESH,2013,Total,55751,2349,58100
UTTARANCHAL,2013,Upto 3 months,640,38,678
UTTARANCHAL,2013,3-6 months,365,11,376
UTTARANCHAL,2013,6-12 months,570,39,609
UTTARANCHAL,2013,1-2 Years,214,8,222
UTTARANCHAL,2013,2-3 Years,32,1,33
UTTARANCHAL,2013,3-5 Years,2,0,2
UTTARANCHAL,2013,Above 5 Years,4,0,4
UTTARANCHAL,2013,Total,1827,97,1924
WEST BENGAL,2013,Upto 3 months,7082,466,7548
WEST BENGAL,2013,3-6 months,3116,170,3286
WEST BENGAL,2013,6-12 months,2493,181,2674
WEST BENGAL,2013,1-2 Years,1339,76,1415
WEST BENGAL,2013,2-3 Years,751,39,790
WEST BENGAL,2013,3-5 Years,451,36,487
