STATE/UT,YEAR,PERIOD OF DETENTION,Male,Female,Total
DAMAN & DIU,2013,3-5 Years,0,0,0
DAMAN & DIU,2013,Above 5 Years,0,0,0
DAMAN & DIU,2013,Total,38,0,38
DELHI,2013,Upto 3 months,3704,133,3837
DELHI,2013,3-6 months,1603,71,1674
DELHI,2013,6-12 months,1549,89,1638
DELHI,2013,1-2 Years,1460,95,1555
DELHI,2013,2-3 Years,657,40,697
DELHI,2013,3-5 Years,548,27,575
DELHI,2013,Above 5 Years,159,19,178
DELHI,2013,Total,9680,474,10154
LAKSHADWEEP,2013,Upto 3 months,0,0,0
LAKSHADWEEP,2013,3-6 months,0,0,0
LAKSHADWEEP,2013,6-12 months,0,0,0
LAKSHADWEEP,2013,1-2 Years,0,0,0
LAKSHADWEEP,2013,2-3 Years,0,0,0
LAKSHADWEEP,2013,3-5 Years,0,0,0
LAKSHADWEEP,2013,Above 5 Years,0,0,0
LAKSHADWEEP,2013,Total,0,0,0
PONDICHERRY,2013,Upto 3 months,82,5,87
PONDICHERRY,2013,3-6 months,61,0,61
PONDICHERRY,2013,6-12 months,40,0,40
PONDICHERRY,2013,1-2 Years,1,0,1
PONDICHERRY,2013,2-3 Years,0,0,0
PONDICHERRY,2013,3-5 Years,0,0,0
PONDICHERRY,2013,Above 5 Years,0,0,0
PONDICHERRY,2013,Total,184,5,189
