TimePeriod,Area_Name,Electronic_equipments_used,Data_Value
2007, Uttarakhand,CCTV,0
2007, Haryana,CCTV,7
2007,Delhi,CCTV,35
2007, Uttar Pradesh,CCTV,49
2007, Bihar,CCTV,2
2007, Sikkim,CCTV,1
2007, Nagaland,CCTV,1
2007, Manipur,CCTV,0
2007, Mizoram,CCTV,0
2007, Tripura,CCTV,21
2007, Meghalaya,CCTV,1
2007, Assam,CCTV,4
2007, West Bengal,CCTV,39
2007, Jharkhand,CCTV,0
2007, Odisha,CCTV,8
2007, Chhattisgarh,CCTV,8
2007, Madhya Pradesh,CCTV,43
2007, Gujarat,CCTV,20
2007,Daman & Diu,CCTV,0
2007,Dadra & Nagar Haveli,CCTV,0
2007, Maharashtra,CCTV,21
2007, Andhra Pradesh,CCTV,0
2007, Karnataka,CCTV,3
2007, Goa,CCTV,0
2007,Lakshadweep,CCTV,0
2007, Kerala,CCTV,0
2007, Tamil Nadu,CCTV,134
2007,Puducherry,CCTV,0
2007,Andaman & Nicobar Islands,CCTV,2
2001, Jammu & Kashmir,Computer,9
2001, Himachal Pradesh,Computer,0
2001, Punjab,Computer,1
2001,Chandigarh,Computer,0
2001, Uttarakhand,Computer,1
2001, Haryana,Computer,1
2001,Delhi,Computer,14
2001, Rajasthan,Computer,1
2001, Uttar Pradesh,Computer,28
2001, Bihar,Computer,0
2001, Sikkim,Computer,1
2001, Nagaland,Computer,0
2001, Manipur,Computer,1
2001, Mizoram,Computer,0
2001, Tripura,Computer,7
2001, Meghalaya,Computer,0
2001, Assam,Computer,68
2001, West Bengal,Computer,22
2001, Jharkhand,Computer,2
2001, Odisha,Computer,0
2001, Chhattisgarh,Computer,4
2001, Madhya Pradesh,Computer,8
2001, Gujarat,Computer,40
2001,Daman & Diu,Computer,0
2001,Dadra & Nagar Haveli,Computer,0
2001, Maharashtra,Computer,17
2001, Andhra Pradesh,Computer,35
2001, Karnataka,Computer,10
2001, Goa,Computer,0
2001,Lakshadweep,Computer,0
2001, Kerala,Computer,15
2001, Tamil Nadu,Computer,23
2001,Puducherry,Computer,2
2002, Jammu & Kashmir,Computer,13
2002, Himachal Pradesh,Computer,3
2002, Punjab,Computer,3
2002,Chandigarh,Computer,0
2002, Uttarakhand,Computer,4
2002, Haryana,Computer,1
2002,Delhi,Computer,8
2002, Rajasthan,Computer,1
2002, Uttar Pradesh,Computer,80
2002, Bihar,Computer,6
2002, Sikkim,Computer,1
2002, Nagaland,Computer,0
2002, Manipur,Computer,2
2002, Mizoram,Computer,2
2002, Tripura,Computer,7
2002, Meghalaya,Computer,0
2002, Assam,Computer,0
2002, West Bengal,Computer,30
2002, Jharkhand,Computer,2
2002, Odisha,Computer,1
2002, Chhattisgarh,Computer,6
2002, Madhya Pradesh,Computer,11
2002, Gujarat,Computer,47
2002,Daman & Diu,Computer,0
2002,Dadra & Nagar Haveli,Computer,0
2002, Maharashtra,Computer,13
2002, Andhra Pradesh,Computer,37
2002, Karnataka,Computer,12
2002, Goa,Computer,0
2002,Lakshadweep,Computer,0
2002, Kerala,Computer,15
2002, Tamil Nadu,Computer,51
2002,Puducherry,Computer,2
2003, Jammu & Kashmir,Computer,32
2003, Himachal Pradesh,Computer,0
2003, Punjab,Computer,5
2003,Chandigarh,Computer,3
2003, Uttarakhand,Computer,5
2003, Haryana,Computer,6
2003,Delhi,Computer,36
2003, Rajasthan,Computer,1
2003, Uttar Pradesh,Computer,80
2003, Bihar,Computer,6
2003, Sikkim,Computer,1
2003, Nagaland,Computer,0
2003, Manipur,Computer,2
2003, Mizoram,Computer,3
2003, Tripura,Computer,7
2003, Meghalaya,Computer,4
2003, Assam,Computer,0
2003, West Bengal,Computer,35
2003, Jharkhand,Computer,6
2003, Odisha,Computer,1
2003, Chhattisgarh,Computer,6
2003, Madhya Pradesh,Computer,0
2003, Gujarat,Computer,47
2003,Daman & Diu,Computer,0
2003,Dadra & Nagar Haveli,Computer,0
2003, Maharashtra,Computer,19
2003, Andhra Pradesh,Computer,37
2003, Karnataka,Computer,42
2003, Goa,Computer,0
2003,Lakshadweep,Computer,0
2003, Kerala,Computer,15
2003, Tamil Nadu,Computer,51
2003,Puducherry,Computer,2
2003,Andaman & Nicobar Islands,Computer,5
2004, Jammu & Kashmir,Computer,32
2004, Himachal Pradesh,Computer,0
2004, Punjab,Computer,6
2004,Chandigarh,Computer,3
2004, Uttarakhand,Computer,5
2004, Haryana,Computer,6
2004,Delhi,Computer,38
2004, Rajasthan,Computer,1
2004, Uttar Pradesh,Computer,80
2004, Bihar,Computer,4
2004, Sikkim,Computer,1
2004, Nagaland,Computer,0
2004, Manipur,Computer,2
2004, Mizoram,Computer,3
2004, Tripura,Computer,7
2004, Meghalaya,Computer,4
2004, Assam,Computer,1
2004, West Bengal,Computer,37
2004, Jharkhand,Computer,6
2004, Odisha,Computer,3
2004, Chhattisgarh,Computer,6
2004, Madhya Pradesh,Computer,13
2004, Gujarat,Computer,47
2004,Daman & Diu,Computer,0
2004,Dadra & Nagar Haveli,Computer,0
2004, Maharashtra,Computer,48
2004, Andhra Pradesh,Computer,145
2004, Karnataka,Computer,42
2004, Goa,Computer,0
2004,Lakshadweep,Computer,0
2004, Kerala,Computer,15
2004, Tamil Nadu,Computer,168
2004,Puducherry,Computer,2
2004,Andaman & Nicobar Islands,Computer,5
2005, Jammu & Kashmir,Computer,32
2005, Himachal Pradesh,Computer,0
2005, Punjab,Computer,33
2005,Chandigarh,Computer,3
2005, Uttarakhand,Computer,14
2005, Haryana,Computer,16
2005,Delhi,Computer,52
2005, Rajasthan,Computer,7
2005, Uttar Pradesh,Computer,140
2005, Bihar,Computer,0
2005, Sikkim,Computer,2
2005, Nagaland,Computer,0
2005, Manipur,Computer,2
2005, Mizoram,Computer,0
2005, Tripura,Computer,7
2005, Meghalaya,Computer,4
2005, Assam,Computer,1
2005, West Bengal,Computer,39
2005, Jharkhand,Computer,20
2005, Odisha,Computer,5
2005, Chhattisgarh,Computer,15
2005, Madhya Pradesh,Computer,21
2005, Gujarat,Computer,72
2005,Daman & Diu,Computer,0
2005,Dadra & Nagar Haveli,Computer,0
2005, Maharashtra,Computer,56
2005, Andhra Pradesh,Computer,153
2005, Karnataka,Computer,44
2005, Goa,Computer,4
2005,Lakshadweep,Computer,0
2005, Kerala,Computer,15
2005, Tamil Nadu,Computer,202
2005,Puducherry,Computer,2
2005,Andaman & Nicobar Islands,Computer,5
2006, Jammu & Kashmir,Computer,34
2006, Himachal Pradesh,Computer,0
2006, Punjab,Computer,36
2006,Chandigarh,Computer,11
2006, Uttarakhand,Computer,12
2006, Haryana,Computer,21
2006,Delhi,Computer,169
2006, Rajasthan,Computer,7
2006, Uttar Pradesh,Computer,140
2006, Bihar,Computer,11
2006, Sikkim,Computer,3
2006, Nagaland,Computer,0
2006, Manipur,Computer,6
2006, Mizoram,Computer,3
2006, Tripura,Computer,7
2006, Meghalaya,Computer,4
2006, Assam,Computer,1
2006, West Bengal,Computer,40
2006, Jharkhand,Computer,32
2006, Odisha,Computer,2
2006, Chhattisgarh,Computer,12
2006, Madhya Pradesh,Computer,23
2006, Gujarat,Computer,61
2006,Daman & Diu,Computer,0
2006,Dadra & Nagar Haveli,Computer,0
2006, Maharashtra,Computer,123
2006, Andhra Pradesh,Computer,158
2006, Karnataka,Computer,45
2006, Goa,Computer,6
2006,Lakshadweep,Computer,0
2006, Kerala,Computer,25
2006, Tamil Nadu,Computer,225
2006,Puducherry,Computer,2
2006,Andaman & Nicobar Islands,Computer,5
2007, Jammu & Kashmir,Computer,34
2007, Himachal Pradesh,Computer,2
2007, Punjab,Computer,27
2007,Chandigarh,Computer,12
2007, Uttarakhand,Computer,14
2007, Haryana,Computer,26
2007,Delhi,Computer,262
2007, Uttar Pradesh,Computer,140
2007, Bihar,Computer,13
2007, Sikkim,Computer,4
2007, Nagaland,Computer,14
2007, Manipur,Computer,6
2007, Mizoram,Computer,3
2007, Tripura,Computer,7
2007, Meghalaya,Computer,4
2007, Assam,Computer,1
2007, West Bengal,Computer,46
2007, Jharkhand,Computer,33
2007, Odisha,Computer,3
2007, Chhattisgarh,Computer,10
2007, Madhya Pradesh,Computer,34
2007, Gujarat,Computer,66
2007,Daman & Diu,Computer,0
2007,Dadra & Nagar Haveli,Computer,0
2007, Maharashtra,Computer,147
2007, Andhra Pradesh,Computer,165
2007, Karnataka,Computer,46
2007, Goa,Computer,6
2007,Lakshadweep,Computer,0
2007, Kerala,Computer,30
2007, Tamil Nadu,Computer,255
2007,Puducherry,Computer,5
2007,Andaman & Nicobar Islands,Computer,5
2001, Jammu & Kashmir,Electronic Typewriter,4
2001, Himachal Pradesh,Electronic Typewriter,0
2001, Punjab,Electronic Typewriter,0
2001,Chandigarh,Electronic Typewriter,0
2001, Uttarakhand,Electronic Typewriter,0
2001, Haryana,Electronic Typewriter,2
2001,Delhi,Electronic Typewriter,2
2001, Rajasthan,Electronic Typewriter,1
2001, Uttar Pradesh,Electronic Typewriter,10
2001, Bihar,Electronic Typewriter,0
2001, Sikkim,Electronic Typewriter,0
2001, Nagaland,Electronic Typewriter,0
2001, Manipur,Electronic Typewriter,0
2001, Mizoram,Electronic Typewriter,0
2001, Tripura,Electronic Typewriter,1
2001, Meghalaya,Electronic Typewriter,0
2001, Assam,Electronic Typewriter,0
2001, West Bengal,Electronic Typewriter,0
2001, Jharkhand,Electronic Typewriter,1
2001, Odisha,Electronic Typewriter,0
2001, Chhattisgarh,Electronic Typewriter,1
2001, Madhya Pradesh,Electronic Typewriter,0
2001, Gujarat,Electronic Typewriter,0
2001,Daman & Diu,Electronic Typewriter,0
2001,Dadra & Nagar Haveli,Electronic Typewriter,0
2001, Maharashtra,Electronic Typewriter,1
2001, Andhra Pradesh,Electronic Typewriter,1
2001, Karnataka,Electronic Typewriter,1
2001, Goa,Electronic Typewriter,0
2001,Lakshadweep,Electronic Typewriter,0
2001, Kerala,Electronic Typewriter,1
2001, Tamil Nadu,Electronic Typewriter,10
2001,Puducherry,Electronic Typewriter,0
2002, Jammu & Kashmir,Electronic Typewriter,1
2002, Himachal Pradesh,Electronic Typewriter,1
2002, Punjab,Electronic Typewriter,0
2002,Chandigarh,Electronic Typewriter,0
2002, Uttarakhand,Electronic Typewriter,0
2002, Haryana,Electronic Typewriter,2
2002,Delhi,Electronic Typewriter,2
2002, Rajasthan,Electronic Typewriter,2
2002, Uttar Pradesh,Electronic Typewriter,5
2002, Bihar,Electronic Typewriter,0
2002, Sikkim,Electronic Typewriter,0
2002, Nagaland,Electronic Typewriter,0
2002, Manipur,Electronic Typewriter,0
2002, Mizoram,Electronic Typewriter,1
2002, Tripura,Electronic Typewriter,1
2002, Meghalaya,Electronic Typewriter,0
2002, Assam,Electronic Typewriter,0
2002, West Bengal,Electronic Typewriter,0
2002, Jharkhand,Electronic Typewriter,1
2002, Odisha,Electronic Typewriter,1
2002, Chhattisgarh,Electronic Typewriter,1
2002, Madhya Pradesh,Electronic Typewriter,0
2002, Gujarat,Electronic Typewriter,0
2002,Daman & Diu,Electronic Typewriter,0
2002,Dadra & Nagar Haveli,Electronic Typewriter,0
2002, Maharashtra,Electronic Typewriter,0
2002, Andhra Pradesh,Electronic Typewriter,2
2002, Karnataka,Electronic Typewriter,1
2002, Goa,Electronic Typewriter,6
2002,Lakshadweep,Electronic Typewriter,0
2002, Kerala,Electronic Typewriter,1
2002, Tamil Nadu,Electronic Typewriter,12
2002,Puducherry,Electronic Typewriter,0
2003, Jammu & Kashmir,Electronic Typewriter,1
2003, Himachal Pradesh,Electronic Typewriter,0
2003, Punjab,Electronic Typewriter,0
2003,Chandigarh,Electronic Typewriter,0
2003, Uttarakhand,Electronic Typewriter,1
2003, Haryana,Electronic Typewriter,3
2003,Delhi,Electronic Typewriter,2
2003, Rajasthan,Electronic Typewriter,2
2003, Uttar Pradesh,Electronic Typewriter,5
2003, Bihar,Electronic Typewriter,0
2003, Sikkim,Electronic Typewriter,0
2003, Nagaland,Electronic Typewriter,0
2003, Manipur,Electronic Typewriter,0
2003, Mizoram,Electronic Typewriter,1
2003, Tripura,Electronic Typewriter,1
2003, Meghalaya,Electronic Typewriter,0
2003, Assam,Electronic Typewriter,0
2003, West Bengal,Electronic Typewriter,0
2003, Jharkhand,Electronic Typewriter,0
2003, Odisha,Electronic Typewriter,1
2003, Chhattisgarh,Electronic Typewriter,1
2003, Madhya Pradesh,Electronic Typewriter,0
2003, Gujarat,Electronic Typewriter,0
2003,Daman & Diu,Electronic Typewriter,0
2003,Dadra & Nagar Haveli,Electronic Typewriter,0
2003, Maharashtra,Electronic Typewriter,0
2003, Andhra Pradesh,Electronic Typewriter,2
2003, Karnataka,Electronic Typewriter,1
2003, Goa,Electronic Typewriter,5
2003,Lakshadweep,Electronic Typewriter,0
2003, Kerala,Electronic Typewriter,1
2003, Tamil Nadu,Electronic Typewriter,12
2003,Puducherry,Electronic Typewriter,0
2003,Andaman & Nicobar Islands,Electronic Typewriter,0
2004, Jammu & Kashmir,Electronic Typewriter,1
2004, Himachal Pradesh,Electronic Typewriter,0
2004, Punjab,Electronic Typewriter,0
2004,Chandigarh,Electronic Typewriter,0
2004, Uttarakhand,Electronic Typewriter,1
2004, Haryana,Electronic Typewriter,3
2004,Delhi,Electronic Typewriter,0
2004, Rajasthan,Electronic Typewriter,2
2004, Uttar Pradesh,Electronic Typewriter,5
2004, Bihar,Electronic Typewriter,0
2004, Sikkim,Electronic Typewriter,0
2004, Nagaland,Electronic Typewriter,0
2004, Manipur,Electronic Typewriter,0
2004, Mizoram,Electronic Typewriter,0
2004, Tripura,Electronic Typewriter,1
2004, Meghalaya,Electronic Typewriter,0
2004, Assam,Electronic Typewriter,0
2004, West Bengal,Electronic Typewriter,6
2004, Jharkhand,Electronic Typewriter,0
2004, Odisha,Electronic Typewriter,1
2004, Chhattisgarh,Electronic Typewriter,0
2004, Madhya Pradesh,Electronic Typewriter,2
2004, Gujarat,Electronic Typewriter,0
2004,Daman & Diu,Electronic Typewriter,0
2004,Dadra & Nagar Haveli,Electronic Typewriter,0
2004, Maharashtra,Electronic Typewriter,0
2004, Andhra Pradesh,Electronic Typewriter,1
2004, Karnataka,Electronic Typewriter,1
2004, Goa,Electronic Typewriter,5
2004,Lakshadweep,Electronic Typewriter,0
2004, Kerala,Electronic Typewriter,1
2004, Tamil Nadu,Electronic Typewriter,16
2004,Puducherry,Electronic Typewriter,0
2004,Andaman & Nicobar Islands,Electronic Typewriter,1
2005, Jammu & Kashmir,Electronic Typewriter,1
2005, Himachal Pradesh,Electronic Typewriter,0
2005, Punjab,Electronic Typewriter,0
2005,Chandigarh,Electronic Typewriter,0
2005, Uttarakhand,Electronic Typewriter,0
2005, Haryana,Electronic Typewriter,4
2005,Delhi,Electronic Typewriter,0
2005, Rajasthan,Electronic Typewriter,2
2005, Uttar Pradesh,Electronic Typewriter,7
2005, Bihar,Electronic Typewriter,6
2005, Sikkim,Electronic Typewriter,0
2005, Nagaland,Electronic Typewriter,0
2005, Manipur,Electronic Typewriter,0
2005, Mizoram,Electronic Typewriter,1
2005, Tripura,Electronic Typewriter,1
2005, Meghalaya,Electronic Typewriter,1
2005, Assam,Electronic Typewriter,0
2005, West Bengal,Electronic Typewriter,6
2005, Jharkhand,Electronic Typewriter,0
2005, Odisha,Electronic Typewriter,0
2005, Chhattisgarh,Electronic Typewriter,4
2005, Madhya Pradesh,Electronic Typewriter,6
2005, Gujarat,Electronic Typewriter,0
2005,Daman & Diu,Electronic Typewriter,0
2005,Dadra & Nagar Haveli,Electronic Typewriter,0
2005, Maharashtra,Electronic Typewriter,1
2005, Andhra Pradesh,Electronic Typewriter,1
2005, Karnataka,Electronic Typewriter,34
2005, Goa,Electronic Typewriter,5
2005,Lakshadweep,Electronic Typewriter,0
2005, Kerala,Electronic Typewriter,0
2005, Tamil Nadu,Electronic Typewriter,16
2005,Puducherry,Electronic Typewriter,0
2005,Andaman & Nicobar Islands,Electronic Typewriter,1
2006, Jammu & Kashmir,Electronic Typewriter,1
2006, Himachal Pradesh,Electronic Typewriter,0
2006, Punjab,Electronic Typewriter,0
2006,Chandigarh,Electronic Typewriter,0
2006, Uttarakhand,Electronic Typewriter,0
2006, Haryana,Electronic Typewriter,0
2006,Delhi,Electronic Typewriter,0
2006, Rajasthan,Electronic Typewriter,0
2006, Uttar Pradesh,Electronic Typewriter,4
2006, Bihar,Electronic Typewriter,0
2006, Sikkim,Electronic Typewriter,0
2006, Nagaland,Electronic Typewriter,0
2006, Manipur,Electronic Typewriter,0
2006, Mizoram,Electronic Typewriter,1
2006, Tripura,Electronic Typewriter,1
2006, Meghalaya,Electronic Typewriter,1
2006, Assam,Electronic Typewriter,2
2006, West Bengal,Electronic Typewriter,0
2006, Jharkhand,Electronic Typewriter,0
2006, Odisha,Electronic Typewriter,0
2006, Chhattisgarh,Electronic Typewriter,2
2006, Madhya Pradesh,Electronic Typewriter,2
2006, Gujarat,Electronic Typewriter,1
2006,Daman & Diu,Electronic Typewriter,0
2006,Dadra & Nagar Haveli,Electronic Typewriter,0
2006, Maharashtra,Electronic Typewriter,0
2006, Andhra Pradesh,Electronic Typewriter,1
2006, Karnataka,Electronic Typewriter,1
2006, Goa,Electronic Typewriter,5
2006,Lakshadweep,Electronic Typewriter,0
2006, Kerala,Electronic Typewriter,0
2006, Tamil Nadu,Electronic Typewriter,5
2006,Puducherry,Electronic Typewriter,0
2006,Andaman & Nicobar Islands,Electronic Typewriter,1
2007, Jammu & Kashmir,Electronic Typewriter,1
2007, Himachal Pradesh,Electronic Typewriter,0
2007, Punjab,Electronic Typewriter,0
2007,Chandigarh,Electronic Typewriter,0
2007, Uttarakhand,Electronic Typewriter,0
2007, Haryana,Electronic Typewriter,1
2007,Delhi,Electronic Typewriter,0
2007, Uttar Pradesh,Electronic Typewriter,4
2007, Bihar,Electronic Typewriter,0
2007, Sikkim,Electronic Typewriter,0
2007, Nagaland,Electronic Typewriter,0
2007, Manipur,Electronic Typewriter,0
2007, Mizoram,Electronic Typewriter,1
2007, Tripura,Electronic Typewriter,1
2007, Meghalaya,Electronic Typewriter,1
2007, Assam,Electronic Typewriter,2
2007, West Bengal,Electronic Typewriter,14
2007, Jharkhand,Electronic Typewriter,0
2007, Odisha,Electronic Typewriter,0
2007, Chhattisgarh,Electronic Typewriter,1
2007, Madhya Pradesh,Electronic Typewriter,4
2007, Gujarat,Electronic Typewriter,1
2007,Daman & Diu,Electronic Typewriter,0
2007,Dadra & Nagar Haveli,Electronic Typewriter,0
2007, Maharashtra,Electronic Typewriter,0
2007, Andhra Pradesh,Electronic Typewriter,1
2007, Karnataka,Electronic Typewriter,1
2007, Goa,Electronic Typewriter,2
2007,Lakshadweep,Electronic Typewriter,0
2007, Kerala,Electronic Typewriter,0
2007, Tamil Nadu,Electronic Typewriter,10
2007,Puducherry,Electronic Typewriter,0
2007,Andaman & Nicobar Islands,Electronic Typewriter,1
2001, Jammu & Kashmir,Fax,7
2001, Himachal Pradesh,Fax,0
2001, Punjab,Fax,47
2001,Chandigarh,Fax,0
2001, Uttarakhand,Fax,6
2001, Haryana,Fax,6
2001,Delhi,Fax,1
2001, Rajasthan,Fax,1
2001, Uttar Pradesh,Fax,81
2001, Bihar,Fax,0
2001, Sikkim,Fax,0
2001, Nagaland,Fax,0
2001, Manipur,Fax,1
2001, Mizoram,Fax,0
2001, Tripura,Fax,1
2001, Meghalaya,Fax,0
2001, Assam,Fax,0
2001, West Bengal,Fax,10
2001, Jharkhand,Fax,2
2001, Odisha,Fax,15
2001, Chhattisgarh,Fax,2
2001, Madhya Pradesh,Fax,5
2001, Gujarat,Fax,29
2001,Daman & Diu,Fax,0
2001,Dadra & Nagar Haveli,Fax,0
2001, Maharashtra,Fax,5
2001, Andhra Pradesh,Fax,8
2001, Karnataka,Fax,24
2001, Goa,Fax,0
2001,Lakshadweep,Fax,0
2001, Kerala,Fax,5
2001, Tamil Nadu,Fax,10
2001,Puducherry,Fax,0
2002, Jammu & Kashmir,Fax,11
2002, Himachal Pradesh,Fax,4
2002, Punjab,Fax,48
2002,Chandigarh,Fax,0
2002, Uttarakhand,Fax,8
2002, Haryana,Fax,3
2002,Delhi,Fax,2
2002, Rajasthan,Fax,1
2002, Uttar Pradesh,Fax,40
2002, Bihar,Fax,6
2002, Sikkim,Fax,0
2002, Nagaland,Fax,0
2002, Manipur,Fax,1
2002, Mizoram,Fax,1
2002, Tripura,Fax,1
2002, Meghalaya,Fax,0
2002, Assam,Fax,0
2002, West Bengal,Fax,14
2002, Jharkhand,Fax,3
2002, Odisha,Fax,15
2002, Chhattisgarh,Fax,3
