TimePeriod,Area_Name,Indicator_Name,Data_Value
2003, Karnataka,Number of times inmates taken for medical attendance,1678
2003, Goa,Number of times inmates taken for medical attendance,3746
2003,Lakshadweep,Number of times inmates taken for medical attendance,1
2003, Kerala,Number of times inmates taken for medical attendance,18921
2003, Tamil Nadu,Number of times inmates taken for medical attendance,16501
2003,Puducherry,Number of times inmates taken for medical attendance,815
2003,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,470
2004, Jammu & Kashmir,Number of times inmates taken for medical attendance,2559
2004, Himachal Pradesh,Number of times inmates taken for medical attendance,3199
2004, Punjab,Number of times inmates taken for medical attendance,907
2004,Chandigarh,Number of times inmates taken for medical attendance,1248
2004, Uttarakhand,Number of times inmates taken for medical attendance,22156
2004, Haryana,Number of times inmates taken for medical attendance,28315
2004,Delhi,Number of times inmates taken for medical attendance,234373
2004, Rajasthan,Number of times inmates taken for medical attendance,25244
2004, Uttar Pradesh,Number of times inmates taken for medical attendance,96299
2004, Bihar,Number of times inmates taken for medical attendance,56833
2004, Sikkim,Number of times inmates taken for medical attendance,452
2004, Nagaland,Number of times inmates taken for medical attendance,31
2004, Manipur,Number of times inmates taken for medical attendance,937
2004, Mizoram,Number of times inmates taken for medical attendance,156
2004, Tripura,Number of times inmates taken for medical attendance,1681
2004, Meghalaya,Number of times inmates taken for medical attendance,0
2004, Assam,Number of times inmates taken for medical attendance,5732
2004, West Bengal,Number of times inmates taken for medical attendance,17998
2004, Jharkhand,Number of times inmates taken for medical attendance,16721
2004, Odisha,Number of times inmates taken for medical attendance,5886
2004, Chhattisgarh,Number of times inmates taken for medical attendance,9831
2004, Madhya Pradesh,Number of times inmates taken for medical attendance,34800
2004, Gujarat,Number of times inmates taken for medical attendance,33348
2004,Daman & Diu,Number of times inmates taken for medical attendance,49
2004,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,0
2004, Maharashtra,Number of times inmates taken for medical attendance,29908
2004, Andhra Pradesh,Number of times inmates taken for medical attendance,98985
2004, Karnataka,Number of times inmates taken for medical attendance,1512
2004, Goa,Number of times inmates taken for medical attendance,4758
2004,Lakshadweep,Number of times inmates taken for medical attendance,0
2004, Kerala,Number of times inmates taken for medical attendance,19021
2004, Tamil Nadu,Number of times inmates taken for medical attendance,16715
2004,Puducherry,Number of times inmates taken for medical attendance,922
2004,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,656
2005, Jammu & Kashmir,Number of times inmates taken for medical attendance,4101
2005, Himachal Pradesh,Number of times inmates taken for medical attendance,3199
2005, Punjab,Number of times inmates taken for medical attendance,926
2005,Chandigarh,Number of times inmates taken for medical attendance,1525
2005, Uttarakhand,Number of times inmates taken for medical attendance,27577
2005, Haryana,Number of times inmates taken for medical attendance,2038
2005,Delhi,Number of times inmates taken for medical attendance,224696
2005, Rajasthan,Number of times inmates taken for medical attendance,18815
2005, Uttar Pradesh,Number of times inmates taken for medical attendance,105494
2005, Bihar,Number of times inmates taken for medical attendance,39240
2005, Sikkim,Number of times inmates taken for medical attendance,519
2005, Nagaland,Number of times inmates taken for medical attendance,27
2005, Manipur,Number of times inmates taken for medical attendance,520
2005, Mizoram,Number of times inmates taken for medical attendance,4402
2005, Tripura,Number of times inmates taken for medical attendance,5453
2005, Meghalaya,Number of times inmates taken for medical attendance,178
2005, Assam,Number of times inmates taken for medical attendance,4952
2005, West Bengal,Number of times inmates taken for medical attendance,27535
2005, Jharkhand,Number of times inmates taken for medical attendance,27095
2005, Odisha,Number of times inmates taken for medical attendance,2315
2005, Chhattisgarh,Number of times inmates taken for medical attendance,15930
2005, Madhya Pradesh,Number of times inmates taken for medical attendance,5136
2005, Gujarat,Number of times inmates taken for medical attendance,51717
2005,Daman & Diu,Number of times inmates taken for medical attendance,53
2005,Dadra & Nagar Haveli,Number of times inmates taken for medical attendance,150
2005, Maharashtra,Number of times inmates taken for medical attendance,32213
2005, Andhra Pradesh,Number of times inmates taken for medical attendance,54040
2005, Karnataka,Number of times inmates taken for medical attendance,1726
2005, Goa,Number of times inmates taken for medical attendance,4118
2005,Lakshadweep,Number of times inmates taken for medical attendance,0
2005, Kerala,Number of times inmates taken for medical attendance,19045
2005, Tamil Nadu,Number of times inmates taken for medical attendance,8725
2005,Puducherry,Number of times inmates taken for medical attendance,1268
2005,Andaman & Nicobar Islands,Number of times inmates taken for medical attendance,2096
2006, Jammu & Kashmir,Number of times inmates taken for medical attendance,2722
